imdb_id,service_id
tt0111161,ss_9
tt0111161,ss_6
tt0111161,ss_1
tt0111161,ss_10
tt0068646,ss_6
tt0068646,ss_10
tt0068646,ss_1
tt0071562,ss_6
tt0071562,ss_10
tt0071562,ss_1
tt0071562,ss_5
tt0468569,ss_10
tt0468569,ss_6
tt0468569,ss_1
tt0050083,ss_10
tt0050083,ss_6
tt0050083,ss_1
tt0050083,ss_2
tt0108052,ss_6
tt0108052,ss_1
tt0108052,ss_10
tt0167260,ss_10
tt0167260,ss_6
tt0167260,ss_1
tt0110912,ss_1
tt0110912,ss_6
tt0110912,ss_10
tt0060196,ss_10
tt0060196,ss_1
tt0060196,ss_6
tt0060196,ss_2
tt0060196,ss_9
tt0120737,ss_10
tt0120737,ss_6
tt0120737,ss_1
tt0137523,ss_7
tt0137523,ss_10
tt0137523,ss_1
tt0137523,ss_6
tt0109830,ss_10
tt0109830,ss_6
tt0109830,ss_1
tt1375666,ss_10
tt1375666,ss_6
tt1375666,ss_1
tt1375666,ss_9
tt0080684,ss_10
tt0080684,ss_1
tt0080684,ss_4
tt0080684,ss_6
tt0167261,ss_10
tt0167261,ss_6
tt0167261,ss_1
tt0133093,ss_10
tt0133093,ss_6
tt0133093,ss_1
tt0133093,ss_9
tt0099685,ss_10
tt0099685,ss_6
tt0099685,ss_1
tt0099685,ss_9
tt0073486,ss_5
tt0073486,ss_10
tt0073486,ss_6
tt0047478,ss_10
tt0047478,ss_6
tt0047478,ss_1
tt0114369,ss_6
tt0114369,ss_1
tt0114369,ss_10
tt0118799,ss_1
tt0118799,ss_6
tt0118799,ss_10
tt0317248,ss_6
tt0317248,ss_10
tt0317248,ss_1
tt0102926,ss_10
tt0102926,ss_1
tt0102926,ss_6
tt0038650,ss_10
tt0038650,ss_6
tt0038650,ss_2
tt0038650,ss_1
tt0076759,ss_6
tt0076759,ss_10
tt0076759,ss_1
tt0076759,ss_4
tt6751668,ss_1
tt6751668,ss_10
tt6751668,ss_6
tt6751668,ss_8
tt0120815,ss_1
tt0120815,ss_10
tt0120815,ss_6
tt0245429,ss_1
tt0245429,ss_10
tt0245429,ss_6
tt0120689,ss_6
tt0120689,ss_10
tt0120689,ss_1
tt0816692,ss_10
tt0816692,ss_6
tt0110413,ss_1
tt0110413,ss_6
tt0114814,ss_10
tt0114814,ss_6
tt0114814,ss_1
tt0056058,ss_10
tt0056058,ss_1
tt0110357,ss_10
tt0110357,ss_1
tt0110357,ss_6
tt0110357,ss_4
tt0120586,ss_6
tt0120586,ss_10
tt0120586,ss_1
tt0253474,ss_6
tt0253474,ss_2
tt0253474,ss_9
tt0103064,ss_10
tt0103064,ss_6
tt0103064,ss_1
tt0088763,ss_10
tt0088763,ss_1
tt0088763,ss_6
tt0027977,ss_1
tt0027977,ss_10
tt0054215,ss_10
tt0054215,ss_6
tt0054215,ss_1
tt0054215,ss_5
tt0172495,ss_1
tt0172495,ss_6
tt0172495,ss_10
tt0021749,ss_6
tt0021749,ss_1
tt0021749,ss_10
tt0407887,ss_10
tt0407887,ss_6
tt0407887,ss_1
tt2582802,ss_6
tt2582802,ss_10
tt2582802,ss_1
tt0482571,ss_1
tt0482571,ss_6
tt0482571,ss_10
tt0064116,ss_5
tt0064116,ss_9
tt0064116,ss_10
