imdb_id,director
tt0111161,Frank Darabont
tt0068646,Francis Ford Coppola
tt0071562,Francis Ford Coppola
tt0468569,Christopher Nolan
tt0050083,Sidney Lumet
tt0108052,Steven Spielberg
tt0167260,Peter Jackson
tt0110912,Quentin Tarantino
tt0060196,Sergio Leone
tt0120737,Peter Jackson
tt0137523,David Fincher
tt0109830,Robert Zemeckis
tt1375666,Christopher Nolan
tt0080684,Irvin Kershner
tt0167261,Peter Jackson
tt0133093,Lana Wachowski
tt0133093,Lilly Wachowski
tt0099685,Martin Scorsese
tt0073486,Milos Forman
tt0047478,Akira Kurosawa
tt0114369,David Fincher
tt0118799,Roberto Benigni
tt0317248,Fernando Meirelles
tt0317248,Kátia Lund(co-director)
tt0102926,Jonathan Demme
tt0038650,Frank Capra
tt0076759,George Lucas
tt6751668,Bong Joon Ho
tt0120815,Steven Spielberg
tt0245429,Hayao Miyazaki
tt0120689,Frank Darabont
tt0816692,Christopher Nolan
tt0110413,Luc Besson
tt0114814,Bryan Singer
tt0056058,Masaki Kobayashi
tt0110357,Roger Allers
tt0110357,Rob Minkoff
tt0120586,Tony Kaye
tt0253474,Roman Polanski
tt0103064,James Cameron
tt0088763,Robert Zemeckis
tt0027977,Charles Chaplin
tt0054215,Alfred Hitchcock
tt0172495,Ridley Scott
tt0021749,Charles Chaplin
tt0407887,Martin Scorsese
tt1675434,Olivier Nakache
tt1675434,Éric Toledano
tt2582802,Damien Chazelle
tt0482571,Christopher Nolan
tt0064116,Sergio Leone
tt0095327,Isao Takahata
tt0034583,Michael Curtiz
tt7286456,Todd Phillips
tt0047396,Alfred Hitchcock
tt0095765,Giuseppe Tornatore
tt0078748,Ridley Scott
tt0078788,Francis Ford Coppola
tt0209144,Christopher Nolan
tt0082971,Steven Spielberg
tt0032553,Charles Chaplin
tt0405094,Florian Henckel von Donnersmarck
tt1853728,Quentin Tarantino
tt0050825,Stanley Kubrick
tt0081505,Stanley Kubrick
tt4154756,Anthony Russo
tt4154756,Joe Russo
tt0910970,Andrew Stanton
tt0066763,Hrishikesh Mukherjee
tt0043014,Billy Wilder
tt4633694,Bob Persichetti
tt4633694,Peter Ramsey
tt4633694,Rodney Rothman
tt0119698,Hayao Miyazaki
tt0057012,Stanley Kubrick
tt0364569,Chan-wook Park
tt0051201,Billy Wilder
tt4154796,Anthony Russo
tt4154796,Joe Russo
tt1345836,Christopher Nolan
tt0087843,Sergio Leone
tt0090605,James Cameron
tt6033368,Megumi Shiraishi
tt2380307,Lee Unkrich
tt2380307,Adrian Molina(co-director)
tt0169547,Sam Mendes
tt0112573,Mel Gibson
tt0082096,Wolfgang Petersen
tt1187043,Rajkumar Hirani
tt0114709,John Lasseter
tt0057565,Akira Kurosawa
tt8579674,Sam Mendes
tt0086190,Richard Marquand
tt0086879,Milos Forman
tt0105236,Quentin Tarantino
tt0361748,Quentin Tarantino
tt0119217,Gus Van Sant
tt0062622,Stanley Kubrick
tt0052357,Alfred Hitchcock
tt0180093,Darren Aronofsky
tt0022100,Fritz Lang
tt5074352,Nitesh Tiwari
tt0338013,Michel Gondry
tt0033467,Orson Welles
tt2106476,Thomas Vinterberg
tt0093058,Stanley Kubrick
tt0053125,Alfred Hitchcock
tt0066921,Stanley Kubrick
tt0040522,Vittorio De Sica
tt0012349,Charles Chaplin
tt0208092,Guy Ritchie
tt0045152,Stanley Donen
tt0045152,Gene Kelly
tt0086250,Brian De Palma
tt0075314,Martin Scorsese
tt0211915,Jean-Pierre Jeunet
tt0056172,David Lean
tt0070735,George Roy Hill
tt0435761,Lee Unkrich
tt0017136,Fritz Lang
tt0044741,Akira Kurosawa
tt0059578,Sergio Leone
tt1832382,Asghar Farhadi
tt0036775,Billy Wilder
tt0053604,Billy Wilder
tt1255953,Denis Villeneuve
tt0056592,Robert Mulligan
tt0097576,Steven Spielberg
tt1049413,Pete Docter
tt1049413,Bob Peterson(co-director)
tt2095684,Babis Makridis
tt0113277,Michael Mann
tt0071853,Terry Gilliam
tt0071853,Terry Jones
tt2759632,Shinzo Yoshida
tt0095016,John McTiernan
tt0055630,Akira Kurosawa
tt0372784,Christopher Nolan
tt0091251,Elem Klimov
tt6966692,Peter Farrelly
tt0118849,Majid Majidi
tt0363163,Oliver Hirschbiegel
tt0105695,Clint Eastwood
tt0053291,Billy Wilder
tt0347149,Hayao Miyazaki
tt0089881,Akira Kurosawa
tt0057115,John Sturges
tt0042192,Joseph L. Mankiewicz
tt0268978,Ron Howard
tt0112641,Martin Scorsese
tt0457430,Guillermo del Toro
tt0096283,Hayao Miyazaki
tt1305806,Juan José Campanella
tt0081398,Martin Scorsese
tt0120735,Guy Ritchie
tt0993846,Martin Scorsese
tt0055031,Stanley Kramer
tt0040897,John Huston
tt0469494,Paul Thomas Anderson
tt5027774,Martin McDonagh
tt0015864,Charles Chaplin
tt0071315,Roman Polanski
tt0046912,Alfred Hitchcock
tt0434409,James McTeigue
tt0050976,Ingmar Bergman
tt0477348,Ethan Coen
tt0477348,Joel Coen
tt2096673,Pete Docter
tt2096673,Ronnie Del Carmen(co-director)
tt1291584,Gavin O'Connor
tt1130884,Martin Scorsese
tt0117951,Danny Boyle
tt0080678,David Lynch
tt0167404,M. Night Shyamalan
tt0084787,John Carpenter
tt0031381,Victor Fleming
tt0031381,George Cukor
tt0031381,Sam Wood
tt3170832,Lenny Abrahamson
