imdb_id,imdb_rank,title,year,runtime,rated,imdb_rating,production
tt0111161,1,The Shawshank Redemption,1994,142,R,9.3,Columbia Pictures
tt0068646,2,The Godfather,1972,175,R,9.2,Paramount Pictures
tt0071562,3,The Godfather: Part II,1974,202,R,9.0,Paramount Pictures
tt0468569,4,The Dark Knight,2008,152,PG-13,9.0,Warner Bros. Pictures/Legendary
tt0050083,5,12 Angry Men,1957,96,Approved,8.9,Criterion Collection
tt0108052,6,Schindler's List,1993,195,R,8.9,Universal Pictures
tt0167260,7,The Lord of the Rings: The Return of the King,2003,201,PG-13,8.9,New Line Cinema
tt0110912,8,Pulp Fiction,1994,154,R,8.9,Miramax Films
tt0060196,9,"The Good, the Bad and the Ugly",1966,178,R,8.8,United Artists
tt0120737,10,The Lord of the Rings: The Fellowship of the Ring,2001,178,PG-13,8.8,New Line Cinema
tt0137523,11,Fight Club,1999,139,R,8.8,20th Century Fox
tt0109830,12,Forrest Gump,1994,142,PG-13,8.8,Paramount Pictures
tt1375666,13,Inception,2010,148,PG-13,8.8,Warner Bros. Pictures
tt0080684,14,Star Wars: Episode V - The Empire Strikes Back,1980,124,PG,8.7,Twentieth Century Fox
tt0167261,15,The Lord of the Rings: The Two Towers,2002,179,PG-13,8.7,New Line Cinema
tt0133093,16,The Matrix,1999,136,R,8.7,Warner Bros. Pictures
tt0099685,17,Goodfellas,1990,146,R,8.7,Warner Bros.
tt0073486,18,One Flew Over the Cuckoo's Nest,1975,133,R,8.7,United Artists
tt0047478,19,Seven Samurai,1954,207,Not Rated,8.6,Columbia Pictures
tt0114369,20,Se7en,1995,127,R,8.6,New Line Cinema
tt0118799,21,Life Is Beautiful,1997,116,PG-13,8.6,Miramax
tt0317248,22,City of God,2002,130,R,8.6,Miramax Films
tt0102926,23,The Silence of the Lambs,1991,118,R,8.6,Orion Pictures Corporation
tt0038650,24,It's a Wonderful Life,1946,130,Passed,8.6,Liberty Films
tt0076759,25,Star Wars: Episode IV - A New Hope,1977,121,PG,8.6,20th Century Fox
tt0120815,27,Saving Private Ryan,1998,169,R,8.6,Dreamworks Distribution
tt0245429,28,Spirited Away,2001,125,PG,8.6,Walt Disney Pictures
tt0120689,29,The Green Mile,1999,189,R,8.6,Warner Bros. Pictures
tt0816692,30,Interstellar,2014,169,PG-13,8.6,Paramount Pictures
tt0110413,31,Léon: The Professional,1994,110,R,8.5,Columbia Pictures
tt0114814,32,The Usual Suspects,1995,106,R,8.5,Gramercy Pictures
tt0056058,33,Harakiri,1962,133,Not Rated,8.7,Criterion Collection
tt0110357,34,The Lion King,1994,88,G,8.5,Buena Vista
tt0120586,35,American History X,1998,119,R,8.5,New Line Cinema
tt0253474,36,The Pianist,2002,150,R,8.5,Focus Features
tt0103064,37,Terminator 2: Judgment Day,1991,137,R,8.5,TriStar Pictures
tt0088763,38,Back to the Future,1985,116,PG,8.5,Universal Pictures
tt0027977,39,Modern Times,1936,87,G,8.5,United Artists
tt0054215,40,Psycho,1960,109,R,8.5,Paramount Pictures
tt0172495,41,Gladiator,2000,155,R,8.5,Dreamworks Distribution LLC
tt0021749,42,City Lights,1931,87,G,8.5,United Artists
tt0407887,43,The Departed,2006,151,R,8.5,Warner Bros. Pictures
tt1675434,44,The Intouchables,2011,112,R,8.5,The Weinstein Company
tt2582802,45,Whiplash,2014,106,R,8.5,Sony Pictures Classics
