service_id,service_name
gg_1,Amazon Prime Video
gg_2,Cinemax
gg_3,Crackle
gg_4,Disney+
gg_5,Google Play Movies & TV
gg_6,HBO Now
gg_7,Hulu
gg_8,Netflix
gg_9,Philo
gg_10,Showtime
gg_11,Sling TV
gg_12,Starz
gg_13,Tubi
gg_14,Vudu
gg_15,YouTube
gg_16,fuboTV
gg_17,iTunes
